epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1763.76,0.41039,0.41882,0.30162,0.87383,0.98708,0.97309,0.99236,0.93309,0.98578,0.97153,0.98505,0.91647,0.34465,0.24287,0.23109,0.78536,0.000614,0.000614,0.000614
72,1788.47,0.40345,0.43693,0.29738,0.8673,0.99337,0.96815,0.99297,0.93805,0.99075,0.96561,0.98578,0.9203,0.33799,0.25028,0.22748,0.78527,0.0005942,0.0005942,0.0005942
73,1813.17,0.40883,0.4359,0.29902,0.87196,0.98202,0.97389,0.99309,0.93447,0.9833,0.97517,0.98539,0.9203,0.33912,0.24588,0.22818,0.78353,0.0005744,0.0005744,0.0005744
74,1838,0.40286,0.40851,0.29045,0.86883,0.98155,0.97452,0.99203,0.93331,0.98155,0.97452,0.98664,0.92139,0.34949,0.25028,0.23177,0.79158,0.0005546,0.0005546,0.0005546
75,1862.66,0.40401,0.41483,0.29207,0.86994,0.98769,0.97197,0.9931,0.93923,0.98687,0.9707,0.98797,0.92097,0.33706,0.23982,0.22209,0.78433,0.0005348,0.0005348,0.0005348
76,1887.21,0.39889,0.41458,0.2892,0.86782,0.98585,0.97707,0.99202,0.93958,0.98585,0.97707,0.98854,0.9236,0.33623,0.24357,0.22253,0.78298,0.000515,0.000515,0.000515
77,1911.99,0.40419,0.42415,0.29016,0.86965,0.98587,0.97793,0.99359,0.9392,0.98587,0.97793,0.98981,0.91925,0.33983,0.24398,0.22193,0.78372,0.0004952,0.0004952,0.0004952
78,1936.62,0.39098,0.41375,0.28721,0.86161,0.98863,0.9758,0.99323,0.9414,0.98473,0.97197,0.9867,0.92709,0.334,0.2511,0.22158,0.78051,0.0004754,0.0004754,0.0004754
79,1961.39,0.39355,0.41208,0.28712,0.86887,0.98179,0.97962,0.993,0.93687,0.97796,0.9758,0.98576,0.92102,0.33845,0.24518,0.22654,0.79103,0.0004556,0.0004556,0.0004556
80,1986.14,0.38574,0.39955,0.2856,0.86756,0.98718,0.98055,0.99365,0.93907,0.98718,0.98055,0.99359,0.92064,0.32735,0.24238,0.2135,0.78232,0.0004358,0.0004358,0.0004358
81,2010.72,0.38864,0.41278,0.28706,0.86749,0.98713,0.97671,0.99141,0.93922,0.98455,0.97417,0.98483,0.91721,0.32975,0.25382,0.21697,0.77945,0.000416,0.000416,0.000416
82,2035.27,0.38941,0.41677,0.28798,0.86496,0.98212,0.98089,0.9928,0.94006,0.97957,0.97834,0.98594,0.92024,0.32667,0.25678,0.21733,0.77751,0.0003962,0.0003962,0.0003962
83,2059.97,0.3948,0.414,0.28559,0.86531,0.98841,0.97783,0.99073,0.94051,0.98455,0.974,0.98561,0.91997,0.32716,0.25038,0.21167,0.78435,0.0003764,0.0003764,0.0003764
84,2084.74,0.37441,0.39889,0.27152,0.85825,0.98934,0.97707,0.992,0.94219,0.98934,0.97707,0.992,0.92497,0.3281,0.24422,0.21543,0.78014,0.0003566,0.0003566,0.0003566
85,2109.29,0.38448,0.39752,0.27563,0.86718,0.98843,0.97933,0.99088,0.94011,0.9884,0.97688,0.98701,0.91862,0.32752,0.24118,0.21345,0.77943,0.0003368,0.0003368,0.0003368
86,2133.69,0.37986,0.38367,0.2699,0.8623,0.99092,0.97307,0.98973,0.93906,0.98962,0.97126,0.98743,0.92107,0.32672,0.23441,0.2141,0.77988,0.000317,0.000317,0.000317
87,2158.44,0.38294,0.38999,0.27147,0.86585,0.99092,0.97268,0.99091,0.94079,0.99092,0.97268,0.98946,0.92524,0.32192,0.23764,0.21012,0.77817,0.0002972,0.0002972,0.0002972
88,2183.31,0.37102,0.37732,0.26581,0.85794,0.99091,0.97254,0.99363,0.9409,0.98824,0.96943,0.98545,0.92403,0.32152,0.24517,0.21416,0.78239,0.0002774,0.0002774,0.0002774
89,2208.04,0.36718,0.39308,0.26682,0.86071,0.98717,0.9758,0.99341,0.94244,0.98799,0.96943,0.98586,0.92108,0.32283,0.24945,0.20803,0.77884,0.0002576,0.0002576,0.0002576
90,2232.85,0.36732,0.39054,0.26305,0.86022,0.9896,0.97197,0.99211,0.94472,0.98701,0.96943,0.98632,0.92567,0.31715,0.23963,0.20632,0.77902,0.0002378,0.0002378,0.0002378
91,2292.46,0.32089,0.29373,0.2168,0.83235,0.9895,0.97325,0.99091,0.94205,0.98654,0.96815,0.98537,0.92517,0.32735,0.25331,0.20856,0.78367,0.000218,0.000218,0.000218
92,2316.99,0.31125,0.27333,0.20899,0.82526,0.99109,0.97325,0.99197,0.94233,0.9872,0.96943,0.98651,0.92838,0.3274,0.25774,0.20806,0.78561,0.0001982,0.0001982,0.0001982
93,2341.58,0.30728,0.27106,0.20502,0.82617,0.99104,0.9707,0.99248,0.94644,0.98714,0.96688,0.98679,0.93125,0.32547,0.25525,0.20655,0.78054,0.0001784,0.0001784,0.0001784
94,2366.02,0.30864,0.27441,0.20398,0.81871,0.99334,0.97325,0.99018,0.94402,0.98936,0.96943,0.98667,0.92975,0.32378,0.25295,0.20307,0.78055,0.0001586,0.0001586,0.0001586
95,2390.09,0.30092,0.27082,0.19888,0.82247,0.99479,0.97307,0.99201,0.94639,0.99219,0.97053,0.98778,0.93095,0.31767,0.24162,0.19825,0.77934,0.0001388,0.0001388,0.0001388
96,2414.81,0.29675,0.27334,0.19832,0.81948,0.99609,0.97282,0.99161,0.94621,0.99478,0.97154,0.98924,0.92852,0.32328,0.23903,0.20232,0.77934,0.000119,0.000119,0.000119
97,2439.5,0.29004,0.26429,0.19409,0.8198,0.99667,0.97325,0.99236,0.94775,0.99537,0.97197,0.98849,0.92907,0.3169,0.23705,0.19723,0.77759,9.92e-05,9.92e-05,9.92e-05
98,2464.21,0.29074,0.26625,0.19472,0.81818,0.99337,0.97452,0.99171,0.9471,0.99077,0.97197,0.98825,0.92919,0.32039,0.24245,0.19855,0.77573,7.94e-05,7.94e-05,7.94e-05
99,2488.57,0.28245,0.26895,0.19068,0.81695,0.98593,0.98207,0.99187,0.94668,0.9821,0.97825,0.9878,0.93019,0.32085,0.24297,0.19784,0.77771,5.96e-05,5.96e-05,5.96e-05
100,2513.32,0.29205,0.26966,0.19427,0.81694,0.99349,0.97242,0.99154,0.94814,0.99089,0.96988,0.98869,0.9306,0.31664,0.23967,0.19465,0.77635,3.98e-05,3.98e-05,3.98e-05
